"","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","startrepro","stoprepro","totalyears","gaps","goodyears","survivingcalves","last_sighting","calving_success"
"PEG",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2015-12-10,0.1
"PHA",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2020-02-02,0.2
"PIC",,,,1,1,1,1,1,1,1,2004,2010,7,0,7,1,2021-08-05,0.142857142857143
"PIX",0,1,1,1,1,,,,,,2001,2005,5,0,5,1,2005-05-23,0.2
"PKA",,1,1,1,1,0,0,,,,2002,2007,6,0,6,0,2019-03-06,0
"POL",,,,,,1,1,1,1,1,2006,2010,5,0,5,0,2018-01-21,0
"POS",1,1,1,1,1,1,1,1,0,,2001,2009,9,0,9,1,2015-01-04,0.111111111111111
"PSI",,,,1,1,1,0,0,1,1,2004,2010,7,0,7,0,2019-03-02,0
"PSU",1,1,1,1,1,,,,,,2001,2005,5,0,5,0,2005-02-13,0
"PUC",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2019-05-14,0.2
"PZZ",,,,,0,1,1,1,1,1,2005,2010,6,0,6,1,2019-11-27,0.166666666666667
"RAP",,,,,1,1,1,1,1,1,2005,2010,6,0,6,1,2016-02-05,0.166666666666667
"REG",1,1,1,1,1,,,1,1,1,2001,2010,8,0,8,2,2019-12-12,0.25
"REP",1,1,1,1,,,,,,,2001,2004,4,0,4,0,2005-05-18,0
"RHY",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2018-12-27,0.1
"RIP",,,,,1,1,1,1,1,1,2005,2010,6,0,6,0,2022-05-16,0
"RNY",1,1,1,1,1,0,0,0,0,1,2001,2010,10,4,6,1,2010-04-19,0.166666666666667
"RPC",0,0,0,1,1,1,1,0,1,0,2001,2010,10,3,7,0,2020-01-17,0
"RSH",0,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2016-03-10,0.2
"RUF",0,1,1,1,,,,,,,2001,2004,4,0,4,0,2004-04-26,0
"SAS",,,,,,,1,1,1,1,2007,2010,4,0,4,0,2014-05-13,0
"SBA",0,1,1,1,1,0,1,1,1,1,2001,2010,10,0,10,2,2016-12-19,0.2
"SCA",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,3,2018-01-21,0.3
"SCH",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2015-12-03,0.2
"SCT",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2017-04-08,0.1
"SCU",1,1,1,1,1,1,1,1,0,1,2001,2010,10,0,10,0,2010-05-06,0
"SCY",,,,0,0,1,1,1,1,1,2004,2010,7,0,7,0,2010-02-04,0
"SHC",,,,,,1,1,1,1,1,2006,2010,5,0,5,1,2019-01-25,0.2
"SHO",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2020-08-20,0.2
"SKF",,,,,,1,1,1,1,1,2006,2010,5,0,5,1,2022-07-08,0.2
"SKR",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2011-04-18,0.1
