"","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","y2019","startrepro","stoprepro","totalyears","gaps","goodyears","survivingcalves","last_sighting","calving_success"
"KNG",1,1,1,1,1,1,0,1,0,1,1,2009,2019,11,0,11,1,2019-12-04,0.0909090909090909
"KOA",,0,1,1,1,1,1,,,,,2010,2015,6,0,6,0,2015-08-26,0
"KWI",1,1,1,1,1,,,,,,,2009,2013,5,0,5,0,2013-06-08,0
"KYD",0,1,1,1,1,1,1,0,1,,,2009,2017,9,0,9,1,2017-05-18,0.111111111111111
"LAS",1,0,0,0,1,1,1,1,,,,2009,2016,8,3,5,1,2016-05-23,0.2
"LEN",,,,,1,1,1,1,1,1,1,2013,2019,7,0,7,0,2019-12-04,0
"LEV",1,1,1,1,0,,,,0,0,1,2009,2019,8,0,8,1,2019-11-16,0.125
"LIC",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,1,2020-02-19,0.0909090909090909
"LIF",0,0,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,1,2019-07-17,0.0909090909090909
"LIT",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,0,2019-10-09,0
"LLA",1,0,1,1,1,1,1,1,,,,2009,2016,8,0,8,1,2019-06-25,0.125
"LLO",0,1,1,1,0,,,,,,,2009,2013,5,0,5,0,2015-09-04,0
"LNS",1,1,1,1,1,1,,,,,,2009,2014,6,0,6,1,2014-07-13,0.166666666666667
"MEO",1,1,1,,1,0,,,,,,2009,2014,5,0,5,1,2015-08-28,0.2
"MFC",0,0,1,1,1,1,1,,,,,2009,2015,7,0,7,1,2015-08-28,0.142857142857143
"MIS",1,0,1,1,1,1,1,1,,,,2009,2016,8,0,8,1,2016-05-23,0.125
"MJV",1,1,1,0,0,0,0,0,1,1,,2009,2018,10,5,5,1,2018-06-27,0.2
"MNG",1,1,1,0,1,0,1,1,0,0,1,2009,2019,11,0,11,1,2019-07-18,0.0909090909090909
"MOO",1,1,1,1,1,1,,,,,,2009,2014,6,0,6,0,2014-07-25,0
"MOU",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,2,2019-11-27,0.181818181818182
"MOZ",1,1,1,1,1,1,1,,,,,2009,2015,7,0,7,0,2015-08-17,0
"MSC",1,0,1,1,1,1,1,1,1,0,1,2009,2019,11,0,11,1,2019-06-19,0.0909090909090909
"MYS",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,1,2019-11-10,0.0909090909090909
"NIC",1,1,1,1,1,1,1,,,,,2009,2015,7,0,7,1,2015-07-01,0.142857142857143
"NIR",,,1,1,1,1,1,1,,,,2011,2016,6,0,6,0,2019-12-02,0
"NOC",0,0,1,0,1,1,1,1,1,0,1,2009,2019,11,0,11,1,2019-11-15,0.0909090909090909
"NOO",1,1,1,1,1,1,,,,,,2009,2014,6,0,6,0,2014-03-12,0
"NUM",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,2,2019-07-17,0.181818181818182
"OLI",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,1,2019-10-08,0.0909090909090909
"OSI",0,0,1,1,1,0,1,1,1,1,,2009,2018,10,0,10,1,2018-06-27,0.1
"PCK",0,0,0,0,1,1,0,1,0,0,1,2009,2019,11,4,7,0,2019-05-15,0
"PDT",1,1,0,1,1,1,1,1,1,1,1,2009,2019,11,0,11,0,2019-06-27,0
"PEG",1,1,1,1,1,1,1,,,,,2009,2015,7,0,7,1,2015-06-10,0.142857142857143
"PGP",,,,1,1,1,1,1,0,,,2012,2017,6,0,6,0,2019-07-03,0
"PHA",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,2,2019-08-03,0.181818181818182
"PHO",,,1,1,1,1,1,1,1,1,1,2011,2019,9,0,9,1,2019-12-04,0.111111111111111
"PIC",1,1,1,1,1,1,1,1,1,,,2009,2017,9,0,9,2,2019-12-07,0.222222222222222
"PKA",,1,1,1,1,1,0,1,0,1,,2010,2018,9,0,9,1,2018-09-04,0.111111111111111
"PNN",0,0,1,1,1,1,,,,,,2009,2014,6,0,6,1,2014-07-13,0.166666666666667
"POL",1,1,1,1,1,1,1,1,1,,,2009,2017,9,0,9,1,2017-07-22,0.111111111111111
"PRN",1,0,,,0,1,1,1,,,,2009,2016,6,0,6,0,2016-06-02,0
