,Dolphin.ID,primary.state,converted.state,PAM_Cluster,ClusterName
55,MOU,TDPDFOR-TD PD FORAGE,MLLFOR-MILL FORAGE,2,TDPDFOR
56,MSC,TDPDFOR-TD PD FORAGE,MLLFOR-MILL FORAGE,2,TDPDFOR
57,MYS,SGFOR-SEAGRASS FORAGE,SGFOR-SEAGRASS FORAGE,4,SEAGRASS FOR
58,NIC,TDPDFOR-TD PD FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
59,NIR,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,1,MLLFOR/TDPDFOR
60,NUM,SGFOR-SEAGRASS FORAGE,SGFOR-SEAGRASS FORAGE,4,SEAGRASS FOR
61,OLI,TDPDFOR-TD PD FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
62,PDT,TDPDFOR-TD PD FORAGE,MLLFOR-MILL FORAGE,2,TDPDFOR
63,PEG,TDPDFOR-TD PD FORAGE,MLLFOR-MILL FORAGE,4,SEAGRASS FOR
64,PHA,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
65,PHO,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
66,PIC,MLLFOR-MILL FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
67,POL,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
68,PUC,MLLFOR-MILL FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
69,PZL,SGFOR-SEAGRASS FORAGE,SGFOR-SEAGRASS FORAGE,4,SEAGRASS FOR
70,RBD,SPF-SPONGEFORAGE,SPF-SPONGEFORAGE,3,SPF
71,RHO,MLLFOR-MILL FORAGE,MLLFOR-MILL FORAGE,4,SEAGRASS FOR
72,RIP,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
73,RSH,SPF-SPONGEFORAGE,SPF-SPONGEFORAGE,3,SPF
74,RSO,MLLFOR-MILL FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
75,SCA,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
76,SCT,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
77,SEQ,SGFOR-SEAGRASS FORAGE,SGFOR-SEAGRASS FORAGE,4,SEAGRASS FOR
78,SHC,SGFOR-SEAGRASS FORAGE,SGFOR-SEAGRASS FORAGE,4,SEAGRASS FOR
79,SHO,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
80,SKF,MLLFOR-MILL FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
81,SLT,SGFOR-SEAGRASS FORAGE,SGFOR-SEAGRASS FORAGE,4,SEAGRASS FOR
82,SOG,SGFOR-SEAGRASS FORAGE,MLLFOR-MILL FORAGE,4,SEAGRASS FOR
83,SPE,SPF-SPONGEFORAGE,SPF-SPONGEFORAGE,3,SPF
84,SUP,TDPDFOR-TD PD FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
85,SUR,SGFOR-SEAGRASS FORAGE,SGFOR-SEAGRASS FORAGE,4,SEAGRASS FOR
86,SVD,SPF-SPONGEFORAGE,SPF-SPONGEFORAGE,3,SPF
87,TAF,MLLFOR-MILL FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
88,TAL,SGFOR-SEAGRASS FORAGE,SGFOR-SEAGRASS FORAGE,4,SEAGRASS FOR
89,TAM,SGFOR-SEAGRASS FORAGE,SGFOR-SEAGRASS FORAGE,4,SEAGRASS FOR
90,TAW,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
91,TDO,SPF-SPONGEFORAGE,SPF-SPONGEFORAGE,3,SPF
92,TUK,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
93,TUL,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
94,VBE,TDPDFOR-TD PD FORAGE,MLLFOR-MILL FORAGE,2,TDPDFOR
95,WAC,MLLFOR-MILL FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
96,WHE,TDPDFOR-TD PD FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
97,WHN,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
98,WHO,MLLFOR-MILL FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
99,WHT,MLLFOR-MILL FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
100,WLV,MLLFOR-MILL FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
101,WNG,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
102,WOF,MLLFOR-MILL FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
103,ZEP,MLLFOR-MILL FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
104,ZIP,TDPDFOR-TD PD FORAGE,MLLFOR-MILL FORAGE,1,MLLFOR/TDPDFOR
105,MOZ,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
106,NOO,TDPDFOR-TD PD FORAGE,TDPDFOR-TD PD FORAGE,2,TDPDFOR
107,PKA,SPF-SPONGEFORAGE,SPF-SPONGEFORAGE,3,SPF
108,RHY,BEACHFOR - BEACHING,TDPDFOR-TD PD FORAGE,4,MLLFOR/TDPDFOR
109,TOR,SPF-SPONGEFORAGE,SPF-SPONGEFORAGE,3,SPF
